DATA,"LEADS NOVOS
 WHATSAPP
","LEADS MENTORIA 3k
(R$ 3.100,00 +) ","LEADS MENTORIA 2K
(R$ 1.100,00 a
R$ 3.000,00)","LEADS TRIBO
(R$ 500,00 a
R$ 1.000,00)","TOTAL DE 
LEADS ÚTEIS
WHATSAPP","LEADS NOVOS 
INSTAGRAM","TOTAL DE 
LEADS ÚTEIS
INSTAGRAM",CONTATADOS,NÃO RESPONDERAM A 1ªMENSAGEM (até o fim do dia),"NÃO QUALIFICADO/
SEM INTERESSE","AGENDAMENTOS FEITOS NO DIA
WHATSAPP","AGENDAMENTOS ANTIGOS
",REAGENDAMENTOS,AGENDAMENTOS INSTAGRAM,TOTAL DE AGENDAMENTOS,AGENDAMENTOS ,NÃO COMPARECEU,*CALLS REALIZADAS,VENDAS REALIZADAS TRIBO CHIVUNK (Orgânico),VENDAS REALIZADAS TRIBO CHIVUNK (Tráfego),VENDAS REALIZADAS MENTORIA (Orgânico),VENDAS REALIZADAS MENTORIA (Tráfego),VENDAS DE OUTROS PRODUTOS,AGENDAMENTOS ,NÃO COMPARECEU,*CALLS REALIZADAS,VENDAS REALIZADAS TRIBO CHIVUNK (Orgânico),VENDAS REALIZADAS TRIBO CHIVUNK (Tráfego),VENDAS REALIZADAS MENTORIA (Orgânico),VENDAS REALIZADAS MENTORIA (Tráfego),VENDAS DE OUTROS PRODUTOS,AGENDAMENTOS ,NÃO COMPARECEU,*CALLS REALIZADAS,VENDAS REALIZADAS TRIBO CHIVUNK (Orgânico),VENDAS REALIZADAS TRIBO CHIVUNK (Tráfego),VENDAS REALIZADAS MENTORIA (Orgânico),VENDAS REALIZADAS MENTORIA (Tráfego),VENDAS DE OUTROS PRODUTOS,AGENDAMENTOS ,NÃO COMPARECEU,*CALLS REALIZADAS,VENDAS REALIZADAS TRIBO CHIVUNK (Orgânico),VENDAS REALIZADAS TRIBO CHIVUNK (Tráfego),VENDAS REALIZADAS MENTORIA (Orgânico),VENDAS REALIZADAS MENTORIA (Tráfego),VENDAS DE OUTROS PRODUTOS,"VENDAS
 REALIZADAS
 TRIBO CHIVUNK 
(Orgânico)",VENDAS REALIZADAS TRIBO CHIVUNK (Tráfego),TOTAL VENDAS TRIBO CHIVUNK,VENDAS REALIZADAS MENTORIA (Orgânico),VENDAS REALIZADAS MENTORIA (Tráfego),TOTAL VENDAS MENTORIA,VENDAS DE OUTROS PRODUTOS,TOTAL VENDAS ,*CALLS REALIZADAS
01/01/2025,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0
02/01/2025,0,0,0,,0,,,0,0,0,0,0,,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0
03/01/2025,0,,,,0,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0
SOMA SEMANAL,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/01/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0
05/01/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0
06/01/2025,1,0,1,0,1,,,1,1,0,0,0,,,0,1,1,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0
07/01/2025,1,,1,,1,,,1,0,0,0,1,,,1,0,0,0,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,0,0,0,0,0,0,0,0,0
08/01/2025,11,1,3,1,5,,,4,1,0,2,1,,,3,2,1,1,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,1
09/01/2025,33,2,6,2,10,,,7,0,0,3,1,,,4,2,0,2,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,2
10/01/2025,20,1,3,,4,,,3,0,0,1,0,,,1,3,0,3,,1,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,1,1,0,0,0,0,1,3
SOMA SEMANAL,66,4,14,3,21,,,16,2,0,6,3,,,9,8,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6
11/01/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0
12/01/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0
13/01/2025,72,0,15,5,20,,,11,0,0,0,1,,,1,1,0,1,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,1
14/01/2025,25,1,7,3,11,,,9,0,0,1,1,,,2,2,2,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0
15/01/2025,18,0,3,2,5,,,12,2,0,0,0,,,0,2,1,1,1,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,1,0,1,0,0,0,0,1,1
16/01/2025,12,0,1,1,2,,,10,1,0,1,2,,,3,1,1,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0
17/01/2025,34,0,7,7,14,,,5,0,0,,1,,,1,1,0,1,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,1
SOMA SEMANAL,161,1,33,18,52,,,47,3,0,2,5,,,7,7,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3
18/01/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0
19/01/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0
20/01/2025,86,,,,0,,,7,1,,1,,,,1,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0
21/01/2025,18,,,,0,,,15,3,0,2,1,,,3,2,0,2,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,2
22/01/2025,23,1,,,1,,,19,7,0,4,1,,,5,2,1,1,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,1
23/01/2025,32,0,15,3,18,,,13,5,0,2,1,,,3,1,1,0,1,,,,,2,,2,,,,,,,,,,,,,,,,0,,,,,,1,0,1,0,0,0,0,1,2
